idx,char_pos,cmdVx,cmdVy,cmdVw,ts
86,20207,0.0,0.0,0.2,2026-05-06 15:22:00.241
87,20436,0.0,0.0,0.2,2026-05-06 15:22:00.241
88,20677,0.0,0.0,0.2,2026-05-06 15:22:00.241
89,20909,0.0,0.0,0.2,2026-05-06 15:22:00.241
90,21150,0.0,0.0,0.2,2026-05-06 15:22:00.241
91,21379,0.0,0.0,0.2,2026-05-06 15:22:00.241
92,21739,0.0,0.0,0.2,2026-05-06 15:22:00.241
93,21968,0.0,0.0,0.2,2026-05-06 15:22:00.241
94,22090,0.0,0.0,0.2,2026-05-06 15:22:00.241
95,22319,0.0,0.0,0.2,2026-05-06 15:22:00.950
96,22560,0.0,0.0,0.2,2026-05-06 15:22:00.950
97,22789,0.0,0.0,0.2,2026-05-06 15:22:00.950
98,23030,0.0,0.0,0.1995,2026-05-06 15:22:00.950
99,23259,0.0,0.0,0.1989,2026-05-06 15:22:00.950
100,23619,0.0,0.0,0.193,2026-05-06 15:22:00.950
101,23848,0.0,0.0,0.1914,2026-05-06 15:22:00.950
102,23970,0.0,0.0,0.1706,2026-05-06 15:22:00.950
103,24199,0.0,0.0,0.1706,2026-05-06 15:22:00.950
104,24440,0.0,0.0,0.1205,2026-05-06 15:22:00.950
105,24669,0.0,0.0,0.1105,2026-05-06 15:22:00.950
106,24910,0.0,0.0,0.0513,2026-05-06 15:22:00.950
107,25139,0.0,0.0,0.0436,2026-05-06 15:22:00.950
108,25380,0.0,0.0,0.0115,2026-05-06 15:22:00.950
109,25609,0.0,0.0,0.0115,2026-05-06 15:22:00.950
110,25850,0.0,0.0,0.0006,2026-05-06 15:22:00.950
111,26079,0.0,0.0,0.0006,2026-05-06 15:22:00.950
112,26320,0.0,0.0,0.0,2026-05-06 15:22:00.950
113,26548,0.0,0.0,0.0,2026-05-06 15:22:00.950
114,26789,0.0,0.0,0.0,2026-05-06 15:22:00.950
115,27017,0.0,0.0,0.0,2026-05-06 15:22:00.950
116,27258,0.0,0.0,0.0,2026-05-06 15:22:00.950
117,27486,0.0,0.0,0.0,2026-05-06 15:22:00.950
118,27727,0.0,0.0,0.0,2026-05-06 15:22:00.950
119,27954,0.0,0.0,0.0,2026-05-06 15:22:00.950
120,28195,0.0,0.0,0.0,2026-05-06 15:22:00.950
121,28426,0.0,0.0,0.0,2026-05-06 15:22:00.950
122,28845,0.0,0.0,0.0,2026-05-06 15:22:00.950
123,29074,0.0,0.0,0.0,2026-05-06 15:22:00.950
